Name;Location;Country;Latitude;Longitude;Elevation
Macauley Island;Kermadec Is;New Zealand;-30,2;-178,47;238
Kikai;Ryukyu Is;Japan;30,78;130,28;717
Masaya;Nicaragua;Nicaragua;11.984;-86.161;635
Pago;New Britain-SW Pac;Papua New Guinea;-5,58;150,52;742
Taal;Luzon-Philippines;Philippines;14.002;120.993;400
Pinatubo;Luzon-Philippines;Philippines;15,13;120,35;1486
Vesuvius;Italy;Italy;40.821;14.426;1281
Long Island;New Guinea-NE of;Papua New Guinea;-5.358;147,12;1280
Black Peak;Alaska Peninsula;United States;56,53;-158,8;1032
St. Helens;US-Washington;United States;46,2;-122,18;2549
Veniaminof;Alaska Peninsula;United States;56,17;-159,38;2507
Aniakchak;Alaska Peninsula;United States;56,88;-158,17;1341
Santorini;Greece;Greece;36.404;25.396;329
Redoubt;Alaska-SW;United States;60,48;-152,75;3108
Taupo;New Zealand;New Zealand;-38,82;176;760
Pago;New Britain-SW Pac;Papua New Guinea;-5,58;150,52;742
Pinatubo;Luzon-Philippines;Philippines;15,13;120,35;1486
Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023
Cotopaxi;Ecuador;Ecuador;-0,677;-78.436;5911
Raoul Island;Kermadec Is;New Zealand;-29,27;-177,92;516
Santorini;Greece;Greece;36.404;25.396;329
St. Andrew Strait;Admiralty Is-SW Paci;Papua New Guinea;-2,38;147,35;270
Etna;Italy;Italy;37.734;15.004;3350
Okmok;Aleutian Is;United States;53,42;-168,13;1073
Apoyeque;Nicaragua;Nicaragua;12.242;-86.342;518
Santorini;Greece;Greece;36.404;25.396;329
Ambrym;Vanuatu-SW Pacific;Vanuatu;-16,25;168,12;1334
Bona-Churchill;Alaska-E;United States;61,38;-141,75;5005
Vesuvius;Italy;Italy;40.821;14.426;1281
Arhab, Harra of;Arabia-S;Yemen;15,63;44,08;3100
Taupo;New Zealand;New Zealand;-38,82;176;760
Ksudach;Kamchatka;Russia;51,8;157,53;1079
Augustine;Alaska-SW;United States;59,37;-153,42;1252
Krakatau;Indonesia;Indonesia;-6.102;105.423;813
Ilopango;El Salvador;El Salvador;13.672;-89.053;450
Arhab, Harra of;Arabia-S;Yemen;15,63;44,08;3100
Rabaul;New Britain-SW Pac;Papua New Guinea;-4.271;152.203;688
San Salvador;El Salvador;El Salvador;13.736;-89.286;1893
Uwayrid, Harrat;Arabia-W;Saudi Arabia;27,08;37,25;1900
Pago;New Britain-SW Pac;Papua New Guinea;-5,58;150,52;742
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Vesuvius;Italy;Italy;40.821;14.426;1281
Dakataua;New Britain-SW Pac;Papua New Guinea;-5.056;150.108;400
Bona-Churchill;Alaska-E;United States;61,38;-141,75;5005
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Ceboruco;Mexico;Mexico;21.125;-104.508;2280
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Changbaishan;China-E;North Korea;41,98;128,08;2744
Santorini;Greece;Greece;36.404;25.396;329
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Krisuvik;Iceland-SW;Iceland;63,93;-22,1;379
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Etna;Italy;Italy;37.734;15.004;3350
Etna;Italy;Italy;37.734;15.004;3350
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Fentale;Africa-NE;Ethiopia;8.975;39,93;2007
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Quilotoa;Ecuador;Ecuador;-0,85;-78,9;3914
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Ischia;Italy;Italy;40,73;13.897;789
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Kelut;Java;Indonesia;-7,93;112.308;1731
Etna;Italy;Italy;37.734;15.004;3350
Etna;Italy;Italy;37.734;15.004;3350
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Kelut;Java;Indonesia;-7,93;112.308;1731
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Oraefajokull;Iceland-SE;Iceland;64;-16,65;2119
Chichon, El;Mexico;Mexico;17,36;-93.228;1150
Kelut;Java;Indonesia;-7,93;112.308;1731
Kelut;Java;Indonesia;-7,93;112.308;1731
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Nasu;Honshu-Japan;Japan;37,12;139,97;1917
Kuwae;Vanuatu-SW Pacific;Vanuatu;-16.829;168.536;-2
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Bardarbunga;Iceland-NE;Iceland;64,63;-17,53;2000
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Etna;Italy;Italy;37.734;15.004;3350
Campi Flegrei;Italy;Italy;40.827;14.139;458
Augustine;Alaska-SW;United States;59,37;-153,42;1252
Dukono;Halmahera-Indonesia;Indonesia;1,68;127,88;1185
Gamkonora;Halmahera-Indonesia;Indonesia;1.375;127,52;1635
Pacaya;Guatemala;Guatemala;14.381;-90.601;2552
Kirishima;Kyushu-Japan;Japan;31,93;130,87;1700
Savo;Solomon Is-SW Pacifi;Solomon Is.;-9,13;159,82;510
Mombacho;Nicaragua;Nicaragua;11.826;-85.968;1344
Colima;Mexico;Mexico;19.514;-103,62;3850
San Jorge;Azores;Portugal;38,65;-28,08;1053
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Fuego;Guatemala;Guatemala;14.473;-90,88;3763
Kelut;Java;Indonesia;-7,93;112.308;1731
Merapi;Java;Indonesia;-7.542;110.442;2947
Colima;Mexico;Mexico;19.514;-103,62;3850
Raung;Java;Indonesia;-8.125;114.042;3332
Ruiz;Colombia;Colombia;4.895;-75.322;5321
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Raung;Java;Indonesia;-8.125;114.042;3332
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640
Huaynaputina;Peru;Peru;-16.608;-70,85;4850
Hachijo-jima;Izu Is-Japan;Japan;33,13;139,77;854
Gamalama;Halmahera-Indonesia;Indonesia;0,8;127.325;1715
Tengchong;China-S;China;25,32;98,47;2865
Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640
Fuego;Guatemala;Guatemala;14.473;-90,88;3763
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Grimsvotn;Iceland-NE;Iceland;64,42;-17,33;1725
Furnas;Azores;Portugal;37,77;-25,32;805
Dama Ali;Africa-NE;Ethiopia;11,28;41,63;1068
Vesuvius;Italy;Italy;40.821;14.426;1281
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Raung;Java;Indonesia;-8.125;114.042;3332
Komaga-take;Hokkaido-Japan;Japan;42,07;140,68;1140
Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023
Makian;Halmahera-Indonesia;Indonesia;0,32;127,4;1357
Santorini;Greece;Greece;36.404;25.396;329
San Salvador;El Salvador;El Salvador;13.736;-89.286;1893
Teon;Banda Sea;Pacific Ocean;-6,92;129.125;655
Teon;Banda Sea;Pacific Ocean;-6,92;129.125;655
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Long Island;New Guinea-NE of;Papua New Guinea;-5.358;147,12;1280
Usu;Hokkaido-Japan;Japan;42,53;140,83;731
Unzen;Kyushu-Japan;Japan;32,75;130,3;1500
Iwo-Tori-shima;Ryukyu Is;Japan;27,85;128,25;217
Etna;Italy;Italy;37.734;15.004;3350
Etna;Italy;Italy;37.734;15.004;3350
Aoba;Vanuatu-SW Pacific;Vanuatu;-15,4;167,83;1496
Fayal;Azores;Portugal;38,6;-28,73;1043
Merapi;Java;Indonesia;-7.542;110.442;2947
Gamkonora;Halmahera-Indonesia;Indonesia;1.375;127,52;1635
La Palma;Canary Is;Spain;28,58;-17,83;2426
Zukur;Red Sea;Yemen;14,02;42,75;624
Vesuvius;Italy;Italy;40.821;14.426;1281
Grimsvotn;Iceland-NE;Iceland;64,42;-17,33;1725
Vesuvius;Italy;Italy;40.821;14.426;1281
Guntur;Java;Indonesia;-7,13;107,83;2249
Serua;Banda Sea;Pacific Ocean;-6,3;130;641
Etna;Italy;Italy;37.734;15.004;3350
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640
Vesuvius;Italy;Italy;40.821;14.426;1281
Cereme;Java;Indonesia;-6.892;108,4;3078
Cotopaxi;Ecuador;Ecuador;-0,677;-78.436;5911
Tenerife;Canary Is;Spain;28.271;-16.641;3715
Santorini;Greece;Greece;36.404;25.396;329
Fuji;Honshu-Japan;Japan;35,35;138,73;3776
Awu;Sangihe Is-Indonesia;Indonesia;3,67;125,5;1320
Bardarbunga;Iceland-NE;Iceland;64,63;-17,53;2000
Vesuvius;Italy;Italy;40.821;14.426;1281
Kelut;Java;Indonesia;-7,93;112.308;1731
Taal;Luzon-Philippines;Philippines;14.002;120.993;400
Bardarbunga;Iceland-NE;Iceland;64,63;-17,53;2000
Kirishima;Kyushu-Japan;Japan;31,93;130,87;1700
Kirishima;Kyushu-Japan;Japan;31,93;130,87;1700
Bardarbunga;Iceland-NE;Iceland;64,63;-17,53;2000
Fuego;Guatemala;Guatemala;14.473;-90,88;3763
Pico;Azores;Portugal;38,47;-28,4;2351
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Bardarbunga;Iceland-NE;Iceland;64,63;-17,53;2000
Oraefajokull;Iceland-SE;Iceland;64;-16,65;2119
Bardarbunga;Iceland-NE;Iceland;64,63;-17,53;2000
Krafla;Iceland-NE;Iceland;65,73;-16,78;650
Lanzarote;Canary Is;Spain;29,03;-13,63;670
Tseax River Cone;Canada;Canada;55,12;-128,9;609
Raung;Java;Indonesia;-8.125;114.042;3332
Vesuvius;Italy;Italy;40.821;14.426;1281
Oshima-Oshima;Hokkaido-Japan;Japan;41,5;139,37;737
Cotopaxi;Ecuador;Ecuador;-0,677;-78.436;5911
Cotopaxi;Ecuador;Ecuador;-0,677;-78.436;5911
Taal;Luzon-Philippines;Philippines;14.002;120.993;400
Grimsvotn;Iceland-NE;Iceland;64,42;-17,33;1725
Taal;Luzon-Philippines;Philippines;14.002;120.993;400
Katla;Iceland-S;Iceland;63,63;-19,05;1512
San Jorge;Azores;Portugal;38,65;-28,08;1053
Makian;Halmahera-Indonesia;Indonesia;0,32;127,4;1357
Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
Cotopaxi;Ecuador;Ecuador;-0,677;-78.436;5911
Gamalama;Halmahera-Indonesia;Indonesia;0,8;127.325;1715
Papandayan;Java;Indonesia;-7,32;107,73;2665
Gamalama;Halmahera-Indonesia;Indonesia;0,8;127.325;1715
Gamalama;Halmahera-Indonesia;Indonesia;0,8;127.325;1715
Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792;1580
Raikoke;Kuril Is;Russia;48.292;153,25;551
Vesuvius;Italy;Italy;40.821;14.426;1281
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Aoga-shima;Izu Is-Japan;Japan;32,45;139,77;423
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Grimsvotn;Iceland-NE;Iceland;64,42;-17,33;1725
Sabancaya;Peru;Peru;-15,78;-71,85;5967
Hualalai;Hawaiian Is;United States;19.692;-155,87;2523
Aoga-shima;Izu Is-Japan;Japan;32,45;139,77;423
Dieng Volc Complex;Java;Indonesia;-7,2;109,92;2565
Oshima;Izu Is-Japan;Japan;34,73;139,38;758
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Unzen;Kyushu-Japan;Japan;32,75;130,3;1500
Vesuvius;Italy;Italy;40.821;14.426;1281
San Jorge;Azores;Portugal;38,65;-28,08;1053
Guntur;Java;Indonesia;-7,13;107,83;2249
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
Hualalai;Hawaiian Is;United States;19.692;-155,87;2523
Kieyo;Africa-E;Tanzania;-9,23;33,78;2175
St. Helens;US-Washington;United States;46,2;-122,18;2549
Chokai;Honshu-Japan;Japan;39,08;140,03;2237
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Shikotsu;Hokkaido-Japan;Japan;42,7;141,33;1320
Vesuvius;Italy;Italy;40.821;14.426;1281
Soufriere St. Vincent;W Indies;St. Vincent & the Grenadines;13,33;-61,18;1220
Awu;Sangihe Is-Indonesia;Indonesia;3,67;125,5;1320
Vesuvius;Italy;Italy;40.821;14.426;1281
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
Tambora;Lesser Sunda Is;Indonesia;-8,25;118;2850
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Ijen;Java;Indonesia;-8.058;114.242;2799
Raung;Java;Indonesia;-8.125;114.042;3332
Colima;Mexico;Mexico;19.514;-103,62;3850
Asuncion;Mariana Is-C Pacific;United States;19,67;145,4;857
Westdahl;Aleutian Is;United States;54,52;-164,65;1654
Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640
Usu;Hokkaido-Japan;Japan;42,53;140,83;731
Galunggung;Java;Indonesia;-7,25;108,05;2168
Merapi;Java;Indonesia;-7.542;110.442;2947
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Shishaldin;Aleutian Is;United States;54,75;-163,97;2857
Balbi;Bougainville-SW Paci;Papua New Guinea;-5,83;154,98;2715
Kelut;Java;Indonesia;-7,93;112.308;1731
Dieng Volc Complex;Java;Indonesia;-7,2;109,92;2565
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Avachinsky;Kamchatka;Russia;53.255;158,83;2741
Avachinsky;Kamchatka;Russia;53.255;158,83;2741
Guntur;Java;Indonesia;-7,13;107,83;2249
Etna;Italy;Italy;37.734;15.004;3350
Merapi;Java;Indonesia;-7.542;110.442;2947
Kaba;Sumatra;Indonesia;-3,52;102,62;1952
Cosiguina;Nicaragua;Nicaragua;12,98;-87,57;872
Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640
Peuet Sague;Sumatra;Indonesia;4.914;96.329;2801
Gamalama;Halmahera-Indonesia;Indonesia;0,8;127.325;1715
Unnamed;Chile-Is;Chile;-33,62;-76,83;-642
Gamalama;Halmahera-Indonesia;Indonesia;0,8;127.325;1715
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Ararat;Turkey;Turkey;39,7;44,28;5165
Savo;Solomon Is-SW Pacifi;Solomon Is.;-9,13;159,82;510
Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;-10,38;165,8;851
Kuchinoerabu-jima;Ryukyu Is;Japan;30,43;130,22;649
Liamuiga;W Indies;St. Kitts & Nevis;17,37;-62,8;1156
